"autonomous_system_number";"autonomous_system_organization"
1;"Level 3 Parent, LLC"
2;"University of Delaware"
3;"Massachusetts Institute of Technology"
4;"University of Southern California"
5;"Symbolics, Inc."
6;"Bull HN Information Systems Inc."
7;"UK Defence Research Agency"
8;"Rice University"
9;"Carnegie Mellon University"
10;"CSNET Coordination and Information Center (CSNET-CIC)"
12;"New York University"
13;"Headquarters, USAISC"
14;"Columbia University"
16;"Lawrence Berkeley National Laboratory"
17;"Purdue University"
18;"University of Texas at Austin"
19;"Leidos, Inc."
20;"University of Rochester"
21;"The RAND Corporation"
22;"Navy Network Information Center (NNIC)"
24;"National Aeronautics and Space Administration"
25;"University of California at Berkeley"
26;"Cornell University"
27;"University of Maryland"
29;"Yale University"
30;"SRI International"
31;"California Institute of Technology"
32;"Stanford University"
34;"University of Delaware"
37;"Navy Network Information Center (NNIC)"
38;"University of Illinois"
41;"National Aeronautics and Space Administration"
42;"Packet Clearing House"
43;"Brookhaven National Laboratory"
44;"Lawrence Livermore National Laboratory"
45;"Lawrence Livermore National Laboratory"
46;"Rutgers University"
47;"University of Southern California"
48;"Navy Network Information Center (NNIC)"
49;"US National Institute of Standards & Technology"
50;"Oak Ridge National Laboratory"
51;"Headquarters, USAISC"
52;"University of California, Los Angeles"
55;"University of Pennsylvania"
56;"DoD Network Information Center"
57;"University of Minnesota"
59;"University of Wisconsin Madison"
62;"CyrusOne LLC"
63;"Massachusetts Institute of Technology"
68;"Los Alamos National Laboratory"
70;"National Library of Medicine"
71;"Hewlett-Packard Company"
72;"Schlumberger Limited"
73;"University of Washington"
74;"Shared Services Canada"
77;"Johns Hopkins University Applied Physics Laboratory"
78;"BT Americas, Inc"
81;"MCNC"
83;"Headquarters, USAISC"
84;"Navy Network Information Center (NNIC)"
85;"The Aerospace Corporation"
87;"Indiana University"
88;"Princeton University"
89;"Navy Network Information Center (NNIC)"
90;"Oracle Corporation"
91;"Rensselaer Polytechnic Institute"
92;"Clarkson University"
97;"NTT America, Inc."
98;"The Rockefeller University"
100;"FMC Central Engineering Laboratories"
101;"University of Washington"
102;"National Science Foundation"
103;"Northwestern University"
104;"University of Colorado at Boulder"
106;"General Dynamics Advanced Information Systems, Inc."
109;"Cisco Systems, Inc."
111;"Boston University"
112;"DNS-OARC"
116;"Telcordia Technologies"
119;"American Mathematical Society"
120;"The MITRE Corporation"
121;"DoD Network Information Center"
122;"UPMC"
125;"Honeywell International, Inc."
