"Town";"Latitude";"Longitude";"IPv4";"IPv6"
"Bratislava-SK";48.1458923;17.1071373;"Yes";"Yes"
"Chicago-US";41.8781136;-87.6297982;"Yes";"Yes"
"Frankfurt-DE";50.1109221;8.6821267;"Yes";"Yes"
"Herndon-US";38.9695545;-77.3860976;"Yes";"Yes"
"LosAngeles-US";34.0522342;-118.2436849;"Yes";"Yes"
"Madrid-ES";40.4167754;-3.7037902;"Yes";"Yes"
"NewYork-US";40.7143528;-74.0059731;"Yes";"Yes"
"Paris-FR";48.856614;2.3522219;"Yes";"Yes"
"Queretaro-MX";20.5888;-100.3899;"Yes";"Yes"
"Singapore-SG";1.3521;103.8198;"Yes";"Yes"
