"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"id";"site"
"SK";"Yes";"Yes";48.1458923;17.1071373;1;"Bratislava";"Global";"Bratislava-SK";"http://c.root-servers.org/"
"US";"Yes";"Yes";41.8781136;-87.6297982;1;"Chicago";"Global";"Chicago-US";"http://c.root-servers.org/"
"DE";"Yes";"Yes";50.1109221;8.6821267;1;"Frankfurt";"Global";"Frankfurt-DE";"http://c.root-servers.org/"
"US";"Yes";"Yes";38.9695545;-77.3860976;1;"Herndon";"Global";"Herndon-US";"http://c.root-servers.org/"
"US";"Yes";"Yes";34.0522342;-118.2436849;1;"Los Angeles";"Global";"LosAngeles-US";"http://c.root-servers.org/"
"ES";"Yes";"Yes";40.4167754;-3.7037902;1;"Madrid";"Global";"Madrid-ES";"http://c.root-servers.org/"
"US";"Yes";"Yes";40.7143528;-74.0059731;1;"New York";"Global";"NewYork-US";"http://c.root-servers.org/"
"FR";"Yes";"Yes";48.856614;2.3522219;1;"Paris";"Global";"Paris-FR";"http://c.root-servers.org/"
"MX";"Yes";"Yes";20.5888;-100.3899;1;"Queretaro";"Global";"Queretaro-MX";"http://c.root-servers.org/"
"SG";"Yes";"Yes";1.3521;103.8198;1;"Singapore";"Global";"Singapore-SG";"http://c.root-servers.org/"
