"Town";"Latitude";"Longitude";"IPv4";"IPv6"
"Amsterdam-NL";"52.30907";"4.763385";"Yes";"Yes"
"Ashburn-US";"38.95315";"-77.44774";"Yes";"Yes"
"Athens-GR";"37.93635";"23.946486";"Yes";"Yes"
"Atlanta-US";"33.640068";"-84.44403";"Yes";"Yes"
"Auckland-NZ";"-37.004787";"174.78352";"Yes";"Yes"
"Baghdad-IQ";"33.1545";"44.1404";"Yes";"Yes"
"Bangkok-TH";"13.693062";"100.752045";"Yes";"Yes"
"Barcelona-ES";"41.390205";"2.154007";"Yes";"Yes"
"Beijing-CN";"40.0725";"116.5975";"Yes";"Yes"
"Beirut-LB";"33.893791";"35.501777";"Yes";"Yes"
"Belgrade-RS";"44.818401";"20.309099";"Yes";"Yes"
"Berlin-DE";"52.553944";"13.291722";"Yes";"Yes"
"Bogota-CO";"4.598056";"-74.075833";"Yes";"Yes"
"Boston-US";"42.360082";"-71.05888";"Yes";"Yes"
"Brisbane-AU";"-27.469771";"153.025124";"Yes";"Yes"
"Brussels-BE";"50.89717";"4.483602";"Yes";"Yes"
"Bucharest-RO";"44.571156";"26.077063";"Yes";"Yes"
"Budapest-HU";"47.436901";"19.2556";"Yes";"Yes"
"Buenos Aires-AR";"-34.81273";"-58.539833";"Yes";"Yes"
"Cairo-EG";"30.120106";"31.40647";"Yes";"Yes"
"Calgary-CA";"51.0486";"-114.0708";"Yes";"Yes"
"Cape Town-ZA";"-33.9249";"18.4241";"Yes";"Yes"
"Cebu-PH";"10.32";"123.75";"Yes";"Yes"
"Chennai-IN";"12.982267";"80.16378";"Yes";"Yes"
"Chicago-US";"41.976913";"-87.90488";"Yes";"Yes"
"Chisinau-MD";"47.0";"28.9166";"Yes";"Yes"
"Colombo-LK";"7.1802";"79.8843";"Yes";"Yes"
"Copenhagen-DK";"55.62905";"12.647601";"Yes";"Yes"
"Dallas-US";"32.89746";"-97.036125";"Yes";"Yes"
"Denver-US";"39.8561";"-104.6737";"Yes";"Yes"
"Detroit-US";"42.212398";"-83.353401";"Yes";"Yes"
"Djibouti City-DJ";"11.8251";"42.5903";"Yes";"Yes"
"Doha-QA";"25.267569";"51.558067";"Yes";"Yes"
"Dubai-AE";"25.248665";"55.352917";"Yes";"Yes"
"Dublin-IE";"53.42728";"-6.24357";"Yes";"Yes"
"Durban-ZA";"-29.85868";"31.02184";"Yes";"Yes"
"Dusseldorf-DE";"51.278328";"6.76558";"Yes";"Yes"
"Edinburgh-GB";"55.953252";"-3.188267";"Yes";"Yes"
"Frankfurt-DE";"50.050735";"8.570773";"Yes";"Yes"
"Hamburg-DE";"53.63128";"10.006414";"Yes";"Yes"
"Helsinki-FI";"60.31795";"24.96645";"Yes";"Yes"
"Hong Kong-HK";"22.315248";"113.93649";"Yes";"Yes"
"Houston-US";"29.7604";"-95.3698";"Yes";"Yes"
"Indianapolis-US";"39.76838";"-86.15804";"Yes";"Yes"
"Istanbul-TR";"41.008238";"28.978359";"Yes";"Yes"
"Jacksonville-US";"30.494101";"-81.687897";"Yes";"Yes"
"Johannesburg-ZA";"-26.132664";"28.231314";"Yes";"Yes"
"Kansas City-US";"39.2976";"-94.713898";"Yes";"Yes"
"Kathmandu-NP";"27.717245";"85.32396";"Yes";"Yes"
"Kiev-UA";"50.341244";"30.895206";"Yes";"Yes"
"Kuala Lumpur-MY";"2.755672";"101.70539";"Yes";"Yes"
"Kuwait City-KW";"29.240116";"47.971252";"Yes";"Yes"
"Las Vegas-US";"36.1699";"-115.1728";"Yes";"Yes"
"Lima-PE";"-12.019421";"-77.107666";"Yes";"Yes"
"Lisbon-PT";"38.7813";"-9.13592";"Yes";"Yes"
"London-GB";"51.469604";"-0.453566";"Yes";"Yes"
"Los Angeles-US";"33.943398";"-118.40828";"Yes";"Yes"
"Luanda-AO";"-8.838333";"13.234443";"Yes";"Yes"
"Luxembourg City-LU";"49.611621";"6.131935";"Yes";"Yes"
"Macau-MO";"22.198745";"113.543873";"Yes";"Yes"
"Madrid-ES";"40.46515";"-3.570209";"Yes";"Yes"
"Manchester-GB";"53.362907";"-2.273354";"Yes";"Yes"
"Manila-PH";"14.509602";"121.01251";"Yes";"Yes"
"Marseille-FR";"43.44178";"5.222137";"Yes";"Yes"
"McAllen-US";"26.1758";"-98.238602";"Yes";"Yes"
"Medellin-CO";"6.171382";"-75.42821";"Yes";"Yes"
"Melbourne-AU";"-37.669613";"144.84978";"Yes";"Yes"
"Memphis-US";"35.1175";"-89.971111";"Yes";"Yes"
"Mexico City-MX";"19.43333";"-99.13333";"Yes";"Yes"
"Miami-US";"25.796";"-80.27824";"Yes";"Yes"
"Milan-IT";"45.627403";"8.71237";"Yes";"Yes"
"Minneapolis-US";"44.883015";"-93.21092";"Yes";"Yes"
"Mombasa-KE";"-4.0327";"39.60325";"Yes";"Yes"
"Montgomery-US";"32.18";"-86.23";"Yes";"Yes"
"Montreal-CA";"45.457714";"-73.74991";"Yes";"Yes"
"Moscow-RU";"55.414566";"37.899494";"Yes";"Yes"
"Mumbai-IN";"19.095509";"72.87497";"Yes";"Yes"
"Munich-DE";"48.1351";"11.582";"Yes";"Yes"
"Muscat-OM";"23.588078";"58.29022";"Yes";"Yes"
"Nashville-US";"36.1263";"-86.6774";"Yes";"Yes"
"New Delhi-IN";"28.556555";"77.10079";"Yes";"Yes"
"Newark-US";"40.68907";"-74.17876";"Yes";"Yes"
"Omaha-US";"41.252363";"-95.997988";"Yes";"Yes"
"Osaka-JP";"34.43533";"135.24397";"Yes";"Yes"
"Oslo-NO";"60.19419";"11.100411";"Yes";"Yes"
"Panama City-PA";"9.0647";"-79.3844";"Yes";"Yes"
"Paris-FR";"49.003197";"2.567023";"Yes";"Yes"
"Perth-AU";"-31.933603";"115.960236";"Yes";"Yes"
"Philadelphia-US";"39.871898";"-75.241096";"Yes";"Yes"
"Phnom Penh-KH";"11.5466";"104.844002";"Yes";"Yes"
"Phoenix-US";"33.435036";"-112.00016";"Yes";"Yes"
"Pittsburgh-US";"40.491501";"-80.232902";"Yes";"Yes"
"Port Louis-MU";"-20.223031";"57.468383";"Yes";"Yes"
"Portland-US";"45.588997";"-122.5929";"Yes";"Yes"
"Prague-CZ";"50.10619";"14.266638";"Yes";"Yes"
"Quito-EC";"-0.129167";"-78.3575";"Yes";"Yes"
"Reykjavik-IS";"64.126521";"-21.817439";"Yes";"Yes"
