"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"id";"site"
"NL";"Yes";"Yes";"52.30907";"4.763385";1;"Amsterdam";"Global";"Amsterdam-NL";"http://f.root-servers.org/"
"US";"Yes";"Yes";"38.95315";"-77.44774";1;"Ashburn";"Global";"Ashburn-US";"http://f.root-servers.org/"
"GR";"Yes";"Yes";"37.93635";"23.946486";1;"Athens";"Global";"Athens-GR";"http://f.root-servers.org/"
"US";"Yes";"Yes";"33.640068";"-84.44403";1;"Atlanta";"Global";"Atlanta-US";"http://f.root-servers.org/"
"NZ";"Yes";"Yes";"-37.004787";"174.78352";1;"Auckland";"Global";"Auckland-NZ";"http://f.root-servers.org/"
"IQ";"Yes";"Yes";"33.1545";"44.1404";1;"Baghdad";"Local";"Baghdad-IQ";"http://f.root-servers.org/"
"TH";"Yes";"Yes";"13.693062";"100.752045";4;"Bangkok";"Local";"Bangkok-TH";"http://f.root-servers.org/"
"ES";"Yes";"Yes";"41.390205";"2.154007";1;"Barcelona";"Global";"Barcelona-ES";"http://f.root-servers.org/"
"CN";"Yes";"Yes";"40.0725";"116.5975";1;"Beijing";"Local";"Beijing-CN";"http://f.root-servers.org/"
"LB";"Yes";"Yes";"33.893791";"35.501777";1;"Beirut";"Local";"Beirut-LB";"http://f.root-servers.org/"
"RS";"Yes";"Yes";"44.818401";"20.309099";1;"Belgrade";"Global";"Belgrade-RS";"http://f.root-servers.org/"
"DE";"Yes";"Yes";"52.553944";"13.291722";1;"Berlin";"Global";"Berlin-DE";"http://f.root-servers.org/"
"CO";"Yes";"Yes";"4.598056";"-74.075833";1;"Bogota";"Local";"Bogota-CO";"http://f.root-servers.org/"
"US";"Yes";"Yes";"42.360082";"-71.05888";1;"Boston";"Global";"Boston-US";"http://f.root-servers.org/"
"AU";"Yes";"Yes";"-27.469771";"153.025124";1;"Brisbane";"Global";"Brisbane-AU";"http://f.root-servers.org/"
"BE";"Yes";"Yes";"50.89717";"4.483602";1;"Brussels";"Global";"Brussels-BE";"http://f.root-servers.org/"
"RO";"Yes";"Yes";"44.571156";"26.077063";1;"Bucharest";"Global";"Bucharest-RO";"http://f.root-servers.org/"
"HU";"Yes";"Yes";"47.436901";"19.2556";1;"Budapest";"Global";"Budapest-HU";"http://f.root-servers.org/"
"AR";"Yes";"Yes";"-34.81273";"-58.539833";1;"Buenos Aires";"Global";"Buenos Aires-AR";"http://f.root-servers.org/"
"EG";"Yes";"Yes";"30.120106";"31.40647";1;"Cairo";"Local";"Cairo-EG";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"51.0486";"-114.0708";1;"Calgary";"Global";"Calgary-CA";"http://f.root-servers.org/"
"ZA";"Yes";"Yes";"-33.9249";"18.4241";1;"Cape Town";"Global";"Cape Town-ZA";"http://f.root-servers.org/"
"PH";"Yes";"Yes";"10.32";"123.75";1;"Cebu";"Local";"Cebu-PH";"http://f.root-servers.org/"
"IN";"Yes";"Yes";"12.982267";"80.16378";2;"Chennai";"Local";"Chennai-IN";"http://f.root-servers.org/"
"US";"Yes";"Yes";"41.976913";"-87.90488";1;"Chicago";"Global";"Chicago-US";"http://f.root-servers.org/"
"MD";"Yes";"Yes";"47.0";"28.9166";1;"Chisinau";"Global";"Chisinau-MD";"http://f.root-servers.org/"
"LK";"Yes";"Yes";"7.1802";"79.8843";1;"Colombo";"Global";"Colombo-LK";"http://f.root-servers.org/"
"DK";"Yes";"Yes";"55.62905";"12.647601";1;"Copenhagen";"Global";"Copenhagen-DK";"http://f.root-servers.org/"
"US";"Yes";"Yes";"32.89746";"-97.036125";1;"Dallas";"Global";"Dallas-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"39.8561";"-104.6737";1;"Denver";"Global";"Denver-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"42.212398";"-83.353401";1;"Detroit";"Global";"Detroit-US";"http://f.root-servers.org/"
"DJ";"Yes";"Yes";"11.8251";"42.5903";1;"Djibouti City";"Local";"Djibouti City-DJ";"http://f.root-servers.org/"
"QA";"Yes";"Yes";"25.267569";"51.558067";1;"Doha";"Local";"Doha-QA";"http://f.root-servers.org/"
"AE";"Yes";"Yes";"25.248665";"55.352917";1;"Dubai";"Local";"Dubai-AE";"http://f.root-servers.org/"
"IE";"Yes";"Yes";"53.42728";"-6.24357";1;"Dublin";"Global";"Dublin-IE";"http://f.root-servers.org/"
"ZA";"Yes";"Yes";"-29.85868";"31.02184";1;"Durban";"Global";"Durban-ZA";"http://f.root-servers.org/"
"DE";"Yes";"Yes";"51.278328";"6.76558";1;"Dusseldorf";"Global";"Dusseldorf-DE";"http://f.root-servers.org/"
"GB";"Yes";"Yes";"55.953252";"-3.188267";1;"Edinburgh";"Global";"Edinburgh-GB";"http://f.root-servers.org/"
"DE";"Yes";"Yes";"50.050735";"8.570773";1;"Frankfurt";"Global";"Frankfurt-DE";"http://f.root-servers.org/"
"DE";"Yes";"Yes";"53.63128";"10.006414";1;"Hamburg";"Global";"Hamburg-DE";"http://f.root-servers.org/"
"FI";"Yes";"Yes";"60.31795";"24.96645";1;"Helsinki";"Global";"Helsinki-FI";"http://f.root-servers.org/"
"HK";"Yes";"Yes";"22.315248";"113.93649";2;"Hong Kong";"Local";"Hong Kong-HK";"http://f.root-servers.org/"
"US";"Yes";"Yes";"29.7604";"-95.3698";1;"Houston";"Global";"Houston-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"39.76838";"-86.15804";1;"Indianapolis";"Global";"Indianapolis-US";"http://f.root-servers.org/"
"TR";"Yes";"Yes";"41.008238";"28.978359";1;"Istanbul";"Global";"Istanbul-TR";"http://f.root-servers.org/"
"US";"Yes";"Yes";"30.494101";"-81.687897";1;"Jacksonville";"Global";"Jacksonville-US";"http://f.root-servers.org/"
"ZA";"Yes";"Yes";"-26.132664";"28.231314";1;"Johannesburg";"Global";"Johannesburg-ZA";"http://f.root-servers.org/"
"US";"Yes";"Yes";"39.2976";"-94.713898";1;"Kansas City";"Global";"Kansas City-US";"http://f.root-servers.org/"
"NP";"Yes";"Yes";"27.717245";"85.32396";1;"Kathmandu";"Local";"Kathmandu-NP";"http://f.root-servers.org/"
"UA";"Yes";"Yes";"50.341244";"30.895206";1;"Kiev";"Global";"Kiev-UA";"http://f.root-servers.org/"
"MY";"Yes";"Yes";"2.755672";"101.70539";1;"Kuala Lumpur";"Global";"Kuala Lumpur-MY";"http://f.root-servers.org/"
"KW";"Yes";"Yes";"29.240116";"47.971252";1;"Kuwait City";"Local";"Kuwait City-KW";"http://f.root-servers.org/"
"US";"Yes";"Yes";"36.1699";"-115.1728";1;"Las Vegas";"Global";"Las Vegas-US";"http://f.root-servers.org/"
"PE";"Yes";"Yes";"-12.019421";"-77.107666";1;"Lima";"Global";"Lima-PE";"http://f.root-servers.org/"
"PT";"Yes";"Yes";"38.7813";"-9.13592";1;"Lisbon";"Global";"Lisbon-PT";"http://f.root-servers.org/"
"GB";"Yes";"Yes";"51.469604";"-0.453566";1;"London";"Global";"London-GB";"http://f.root-servers.org/"
"US";"Yes";"Yes";"33.943398";"-118.40828";1;"Los Angeles";"Global";"Los Angeles-US";"http://f.root-servers.org/"
"AO";"Yes";"Yes";"-8.838333";"13.234443";1;"Luanda";"Local";"Luanda-AO";"http://f.root-servers.org/"
"LU";"Yes";"Yes";"49.611621";"6.131935";1;"Luxembourg City";"Global";"Luxembourg City-LU";"http://f.root-servers.org/"
"MO";"Yes";"Yes";"22.198745";"113.543873";1;"Macau";"Local";"Macau-MO";"http://f.root-servers.org/"
"ES";"Yes";"Yes";"40.46515";"-3.570209";1;"Madrid";"Global";"Madrid-ES";"http://f.root-servers.org/"
"GB";"Yes";"Yes";"53.362907";"-2.273354";1;"Manchester";"Global";"Manchester-GB";"http://f.root-servers.org/"
"PH";"Yes";"Yes";"14.509602";"121.01251";2;"Manila";"Local";"Manila-PH";"http://f.root-servers.org/"
"FR";"Yes";"Yes";"43.44178";"5.222137";1;"Marseille";"Global";"Marseille-FR";"http://f.root-servers.org/"
"US";"Yes";"Yes";"26.1758";"-98.238602";1;"McAllen";"Global";"McAllen-US";"http://f.root-servers.org/"
"CO";"Yes";"Yes";"6.171382";"-75.42821";1;"Medellin";"Local";"Medellin-CO";"http://f.root-servers.org/"
"AU";"Yes";"Yes";"-37.669613";"144.84978";1;"Melbourne";"Global";"Melbourne-AU";"http://f.root-servers.org/"
"US";"Yes";"Yes";"35.1175";"-89.971111";1;"Memphis";"Global";"Memphis-US";"http://f.root-servers.org/"
"MX";"Yes";"Yes";"19.43333";"-99.13333";1;"Mexico City";"Global";"Mexico City-MX";"http://f.root-servers.org/"
"US";"Yes";"Yes";"25.796";"-80.27824";1;"Miami";"Global";"Miami-US";"http://f.root-servers.org/"
"IT";"Yes";"Yes";"45.627403";"8.71237";1;"Milan";"Global";"Milan-IT";"http://f.root-servers.org/"
"US";"Yes";"Yes";"44.883015";"-93.21092";1;"Minneapolis";"Global";"Minneapolis-US";"http://f.root-servers.org/"
"KE";"Yes";"Yes";"-4.0327";"39.60325";1;"Mombasa";"Local";"Mombasa-KE";"http://f.root-servers.org/"
"US";"Yes";"Yes";"32.18";"-86.23";1;"Montgomery";"Global";"Montgomery-US";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"45.457714";"-73.74991";1;"Montreal";"Global";"Montreal-CA";"http://f.root-servers.org/"
"RU";"Yes";"Yes";"55.414566";"37.899494";1;"Moscow";"Global";"Moscow-RU";"http://f.root-servers.org/"
"IN";"Yes";"Yes";"19.095509";"72.87497";2;"Mumbai";"Local";"Mumbai-IN";"http://f.root-servers.org/"
"DE";"Yes";"Yes";"48.1351";"11.582";1;"Munich";"Global";"Munich-DE";"http://f.root-servers.org/"
"OM";"Yes";"Yes";"23.588078";"58.29022";1;"Muscat";"Local";"Muscat-OM";"http://f.root-servers.org/"
"US";"Yes";"Yes";"36.1263";"-86.6774";1;"Nashville";"Global";"Nashville-US";"http://f.root-servers.org/"
"IN";"Yes";"Yes";"28.556555";"77.10079";1;"New Delhi";"Local";"New Delhi-IN";"http://f.root-servers.org/"
"US";"Yes";"Yes";"40.68907";"-74.17876";1;"Newark";"Global";"Newark-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"41.252363";"-95.997988";1;"Omaha";"Global";"Omaha-US";"http://f.root-servers.org/"
"JP";"Yes";"Yes";"34.43533";"135.24397";1;"Osaka";"Global";"Osaka-JP";"http://f.root-servers.org/"
"NO";"Yes";"Yes";"60.19419";"11.100411";1;"Oslo";"Global";"Oslo-NO";"http://f.root-servers.org/"
"PA";"Yes";"Yes";"9.0647";"-79.3844";1;"Panama City";"Local";"Panama City-PA";"http://f.root-servers.org/"
"FR";"Yes";"Yes";"49.003197";"2.567023";1;"Paris";"Global";"Paris-FR";"http://f.root-servers.org/"
"AU";"Yes";"Yes";"-31.933603";"115.960236";1;"Perth";"Global";"Perth-AU";"http://f.root-servers.org/"
"US";"Yes";"Yes";"39.871898";"-75.241096";1;"Philadelphia";"Local";"Philadelphia-US";"http://f.root-servers.org/"
"KH";"Yes";"Yes";"11.5466";"104.844002";1;"Phnom Penh";"Local";"Phnom Penh-KH";"http://f.root-servers.org/"
"US";"Yes";"Yes";"33.435036";"-112.00016";1;"Phoenix";"Global";"Phoenix-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"40.491501";"-80.232902";1;"Pittsburgh";"Global";"Pittsburgh-US";"http://f.root-servers.org/"
"MU";"Yes";"Yes";"-20.223031";"57.468383";1;"Port Louis";"Local";"Port Louis-MU";"http://f.root-servers.org/"
"US";"Yes";"Yes";"45.588997";"-122.5929";1;"Portland";"Global";"Portland-US";"http://f.root-servers.org/"
"CZ";"Yes";"Yes";"50.10619";"14.266638";1;"Prague";"Global";"Prague-CZ";"http://f.root-servers.org/"
"EC";"Yes";"Yes";"-0.129167";"-78.3575";1;"Quito";"Local";"Quito-EC";"http://f.root-servers.org/"
"IS";"Yes";"Yes";"64.126521";"-21.817439";1;"Reykjavik";"Global";"Reykjavik-IS";"http://f.root-servers.org/"
"LV";"Yes";"Yes";"56.923599";"23.9711";1;"Riga";"Global";"Riga-LV";"http://f.root-servers.org/"
"BR";"Yes";"Yes";"-22.809999";"-43.250557";1;"Rio de Janeiro";"Global";"Rio de Janeiro-BR";"http://f.root-servers.org/"
