"Town";"Latitude";"Longitude";"IPv4";"IPv6"
"Amsterdam-NL";52.3738007;4.8909347;"Yes";"Yes"
"Ankara-TR";39.943873;32.856034;"Yes";"Yes"
"Ashburn-US";39.043611;-77.4875;"Yes";"Yes"
"Bangkok-TH";13.7234186;100.4762319;"Yes";"Yes"
"Beijing-CN";39.904667;116.408198;"Yes";"No"
"Belgrade-RS";44.8167;20.4667;"Yes";"Yes"
"Bratislava-SK";48.1485965;17.1077478;"Yes";"Yes"
"Brussels-BE";50.8462807;4.3547273;"Yes";"Yes"
"Bucharest-RO";44.430481;26.12298;"Yes";"Yes"
"Chicago-US";41.850033;-87.6500523;"Yes";"No"
"Copenhagen-DK";55.6760968;12.5683371;"Yes";"Yes"
"Doha-QA";25.281892;51.517541;"Yes";"Yes"
"Dubai-AE";25.26452;55.311667;"Yes";"No"
"Frankfurt-DE";50.1115118;8.6805059;"Yes";"Yes"
"Geneva-CH";46.2038099;6.1399589;"Yes";"Yes"
"Gothenburg-SE";57.70887;11.97456;"Yes";"Yes"
"Helsinki-FI";60.1698791;24.9384078;"Yes";"Yes"
"HongKong-CN";22.396428;114.109497;"Yes";"Yes"
"Jakarta-ID";-6.211544;106.845172;"Yes";"Yes"
"Johannesburg-ZA";-26.201452;28.045488;"Yes";"Yes"
"Karachi-PK";24.9056;67.0822;"Yes";"Yes"
"Kathmandu-NP";27.7017;85.3206;"Yes";"Yes"
"Kiev-UA";50.4017;30.4497;"Yes";"Yes"
"Kigali-RW";-1.9536;30.0606;"Yes";"Yes"
"KualaLumpur-MY";3.1412;101.687;"Yes";"Yes"
"London-UK";51.5001524;-0.1262362;"Yes";"Yes"
"Lulea-SE";65.5841574;22.1547489;"Yes";"Yes"
"LuxembourgCity-LU";49.61;6.13;"Yes";"Yes"
"Manama-BH";26.235828;50.576581;"Yes";"Yes"
"Manila-PH";14.6010326;120.9761599;"Yes";"No"
"Miami-US";25.7742657;-80.1936589;"Yes";"No"
"Milan-IT";45.4636889;9.1881408;"Yes";"Yes"
"Montevideo-UY";-34.9011127;-56.1645314;"Yes";"Yes"
"Mumbai-IN";19.0759837;72.8776559;"Yes";"No"
"Oslo-NO";59.9138204;10.7387413;"Yes";"Yes"
"Paris-FR";48.8566667;2.3509871;"Yes";"Yes"
"Perth-AU";-31.9554;115.85859;"Yes";"Yes"
"PortVila-VU";-17.75;168.3;"Yes";"Yes"
"PortoAlegre-BR";-29.993333;-51.17;"Yes";"No"
"Riga-LV";56.9496487;24.1051864;"Yes";"Yes"
"SanFrancisco-US";37.7818;-122.418;"Yes";"Yes"
"Shiraz-IR";29.5917677;52.5836982;"Yes";"Yes"
"Singapore-SG";1.2894066;103.8499619;"Yes";"Yes"
"StPetersburg-RU";59.938863;30.311556;"Yes";"Yes"
"Stockholm-SE";59.3327881;18.0644881;"Yes";"Yes"
"Sundsvall-SE";62.4733772;16.8122421;"Yes";"Yes"
"Taipei-TW";25.091075;121.5598345;"Yes";"Yes"
"Tallinn-EE";59.44;24.74;"Yes";"Yes"
"Thimphu-BT";27.4661;89.6419;"Yes";"Yes"
"Tokyo-JP";35.6894875;139.6917064;"Yes";"Yes"
"Ulaanbaatar-MN";47.469775;103.049325;"Yes";"Yes"
"Vienna-AT";48.2092062;16.3727778;"Yes";"Yes"
"WashingtonDC-US";38.9059849;-77.0334179;"Yes";"No"
"Wellington-NZ";-41.28648;174.776217;"Yes";"Yes"
