"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"id";"site"
"NL";"Yes";"Yes";52.3738007;4.8909347;2;"Amsterdam";"Global";"Amsterdam-NL";"http://i.root-servers.org/"
"TR";"Yes";"Yes";39.943873;32.856034;1;"Ankara";"Global";"Ankara-TR";"http://i.root-servers.org/"
"US";"Yes";"Yes";39.043611;-77.4875;1;"Ashburn";"Global";"Ashburn-US";"http://i.root-servers.org/"
"TH";"Yes";"Yes";13.7234186;100.4762319;2;"Bangkok";"Global";"Bangkok-TH";"http://i.root-servers.org/"
"CN";"Yes";"No";39.904667;116.408198;1;"Beijing";"Global";"Beijing-CN";"http://i.root-servers.org/"
"RS";"Yes";"Yes";44.8167;20.4667;1;"Belgrade";"Global";"Belgrade-RS";"http://i.root-servers.org/"
"SK";"Yes";"Yes";48.1485965;17.1077478;1;"Bratislava";"Global";"Bratislava-SK";"http://i.root-servers.org/"
"BE";"Yes";"Yes";50.8462807;4.3547273;1;"Brussels";"Global";"Brussels-BE";"http://i.root-servers.org/"
"RO";"Yes";"Yes";44.430481;26.12298;1;"Bucharest";"Global";"Bucharest-RO";"http://i.root-servers.org/"
"US";"Yes";"No";41.850033;-87.6500523;1;"Chicago";"Global";"Chicago-US";"http://i.root-servers.org/"
"DK";"Yes";"Yes";55.6760968;12.5683371;1;"Copenhagen";"Global";"Copenhagen-DK";"http://i.root-servers.org/"
"QA";"Yes";"Yes";25.281892;51.517541;1;"Doha";"Global";"Doha-QA";"http://i.root-servers.org/"
"AE";"Yes";"No";25.26452;55.311667;1;"Dubai";"Global";"Dubai-AE";"http://i.root-servers.org/"
"DE";"Yes";"Yes";50.1115118;8.6805059;1;"Frankfurt";"Global";"Frankfurt-DE";"http://i.root-servers.org/"
"CH";"Yes";"Yes";46.2038099;6.1399589;1;"Geneva";"Global";"Geneva-CH";"http://i.root-servers.org/"
"SE";"Yes";"Yes";57.70887;11.97456;1;"Gothenburg";"Global";"Gothenburg-SE";"http://i.root-servers.org/"
"FI";"Yes";"Yes";60.1698791;24.9384078;1;"Helsinki";"Global";"Helsinki-FI";"http://i.root-servers.org/"
"CN";"Yes";"Yes";22.396428;114.109497;1;"HongKong";"Global";"HongKong-CN";"http://i.root-servers.org/"
"ID";"Yes";"Yes";-6.211544;106.845172;1;"Jakarta";"Global";"Jakarta-ID";"http://i.root-servers.org/"
"ZA";"Yes";"Yes";-26.201452;28.045488;1;"Johannesburg";"Global";"Johannesburg-ZA";"http://i.root-servers.org/"
"PK";"Yes";"Yes";24.9056;67.0822;1;"Karachi";"Global";"Karachi-PK";"http://i.root-servers.org/"
"NP";"Yes";"Yes";27.7017;85.3206;1;"Kathmandu";"Global";"Kathmandu-NP";"http://i.root-servers.org/"
"UA";"Yes";"Yes";50.4017;30.4497;1;"Kiev";"Global";"Kiev-UA";"http://i.root-servers.org/"
"RW";"Yes";"Yes";-1.9536;30.0606;1;"Kigali";"Global";"Kigali-RW";"http://i.root-servers.org/"
"MY";"Yes";"Yes";3.1412;101.687;1;"Kuala Lumpur";"Global";"KualaLumpur-MY";"http://i.root-servers.org/"
"UK";"Yes";"Yes";51.5001524;-0.1262362;2;"London";"Global";"London-UK";"http://i.root-servers.org/"
"SE";"Yes";"Yes";65.5841574;22.1547489;1;"Lulea";"Global";"Lulea-SE";"http://i.root-servers.org/"
"LU";"Yes";"Yes";49.61;6.13;1;"Luxembourg City";"Global";"LuxembourgCity-LU";"http://i.root-servers.org/"
"BH";"Yes";"Yes";26.235828;50.576581;1;"Manama";"Global";"Manama-BH";"http://i.root-servers.org/"
"PH";"Yes";"No";14.6010326;120.9761599;1;"Manila";"Global";"Manila-PH";"http://i.root-servers.org/"
"US";"Yes";"No";25.7742657;-80.1936589;1;"Miami";"Global";"Miami-US";"http://i.root-servers.org/"
"IT";"Yes";"Yes";45.4636889;9.1881408;2;"Milan";"Global";"Milan-IT";"http://i.root-servers.org/"
"UY";"Yes";"Yes";-34.9011127;-56.1645314;1;"Montevideo";"Global";"Montevideo-UY";"http://i.root-servers.org/"
"IN";"Yes";"No";19.0759837;72.8776559;1;"Mumbai";"Global";"Mumbai-IN";"http://i.root-servers.org/"
"NO";"Yes";"Yes";59.9138204;10.7387413;2;"Oslo";"Global";"Oslo-NO";"http://i.root-servers.org/"
"FR";"Yes";"Yes";48.8566667;2.3509871;1;"Paris";"Global";"Paris-FR";"http://i.root-servers.org/"
"AU";"Yes";"Yes";-31.9554;115.85859;1;"Perth";"Global";"Perth-AU";"http://i.root-servers.org/"
"VU";"Yes";"Yes";-17.75;168.3;1;"Port Vila";"Global";"PortVila-VU";"http://i.root-servers.org/"
"BR";"Yes";"No";-29.993333;-51.17;1;"Porto Alegre";"Global";"PortoAlegre-BR";"http://i.root-servers.org/"
"LV";"Yes";"Yes";56.9496487;24.1051864;1;"Riga";"Global";"Riga-LV";"http://i.root-servers.org/"
"US";"Yes";"Yes";37.7818;-122.418;1;"San Francisco";"Global";"SanFrancisco-US";"http://i.root-servers.org/"
"IR";"Yes";"Yes";29.5917677;52.5836982;1;"Shiraz";"Local";"Shiraz-IR";"http://i.root-servers.org/"
"SG";"Yes";"Yes";1.2894066;103.8499619;1;"Singapore";"Global";"Singapore-SG";"http://i.root-servers.org/"
"RU";"Yes";"Yes";59.938863;30.311556;1;"St Petersburg";"Global";"StPetersburg-RU";"http://i.root-servers.org/"
"SE";"Yes";"Yes";59.3327881;18.0644881;1;"Stockholm";"Global";"Stockholm-SE";"http://i.root-servers.org/"
"SE";"Yes";"Yes";62.4733772;16.8122421;1;"Sundsvall";"Global";"Sundsvall-SE";"http://i.root-servers.org/"
"TW";"Yes";"Yes";25.091075;121.5598345;1;"Taipei";"Global";"Taipei-TW";"http://i.root-servers.org/"
"EE";"Yes";"Yes";59.44;24.74;1;"Tallinn";"Global";"Tallinn-EE";"http://i.root-servers.org/"
"BT";"Yes";"Yes";27.4661;89.6419;1;"Thimphu";"Global";"Thimphu-BT";"http://i.root-servers.org/"
"JP";"Yes";"Yes";35.6894875;139.6917064;2;"Tokyo";"Global";"Tokyo-JP";"http://i.root-servers.org/"
"MN";"Yes";"Yes";47.469775;103.049325;1;"Ulaanbaatar";"Global";"Ulaanbaatar-MN";"http://i.root-servers.org/"
"AT";"Yes";"Yes";48.2092062;16.3727778;1;"Vienna";"Global";"Vienna-AT";"http://i.root-servers.org/"
"US";"Yes";"No";38.9059849;-77.0334179;1;"Washington DC";"Global";"WashingtonDC-US";"http://i.root-servers.org/"
"NZ";"Yes";"Yes";-41.28648;174.776217;1;"Wellington";"Global";"Wellington-NZ";"http://i.root-servers.org/"
