Town;Latitude;Longitude;IPv4;IPv6
"Abovyan-AM";40.271765;44.633584;"Yes";"Yes"
"Amsterdam-NL";52.3702157;4.8951679;"Yes";"Yes"
"Ashland-US";37.7590318;-77.4799837;"Yes";"Yes"
"Athens-GR";37.9837155;23.7293097;"Yes";"Yes"
"Barcelona-ES";41.297445;2.0832941;"Yes";"Yes"
"Beirut-LB";33.8937913;35.5017767;"Yes";"Yes"
"Belgrade-RS";44.786568;20.4489216;"Yes";"Yes"
"Berlin-DE";52.5200066;13.404954;"Yes";"Yes"
"Brisbane-AU";-27.4710107;153.0234489;"Yes";"Yes"
"Bucharest-RO";44.4379268;26.0244262;"Yes";"Yes"
"Budapest-HU";47.497912;19.040235;"Yes";"Yes"
"BuenosAires-AR";-34.6036844;-58.3815591;"Yes";"Yes"
"Calgary-CA";51.0486151;-114.0708459;"Yes";"Yes"
"Cork-IE";51.8959843;-8.5330895;"Yes";"Yes"
"Doha-QA";25.2854473;51.5310398;"Yes";"Yes"
"Frankfurt-DE";50.1109221;8.6821267;"Yes";"Yes"
"Gdynia-PL";54.4050713;18.5769101;"Yes";"Yes"
"Geneva-CH";46.1983922;6.1422961;"Yes";"Yes"
"Hamburg-DE";53.558243;9.6469591;"Yes";"Yes"
"Helsinki-FI";60.1733244;24.9410248;"Yes";"Yes"
"Johannesburg-ZA";-26.1567008;27.9807018;"Yes";"Yes"
"KansasCity-US";39.0997265;-94.5785667;"Yes";"Yes"
"Karlsruhe-DE";49.0068901;8.4036527;"Yes";"Yes"
"KuwaitCity-KW";29.342143;47.945333;"Yes";"Yes"
"London-UK";51.508515;-0.1254872;"Yes";"Yes"
"Manama-BH";26.2285161;50.5860497;"Yes";"Yes"
"Miami-US";25.7889689;-80.2264393;"Yes";"Yes"
"Milan-IT";45.4654542;9.186516;"Yes";"Yes"
"Montevideo-UY";-34.8195806;-56.3702903;"Yes";"Yes"
"Moscow-RU";55.755826;37.6173;"Yes";"Yes"
"Mumbai-IN";18.9523804;72.8327112;"Yes";"Yes"
"Noida-IN";28.567934;77.335489;"Yes";"Yes"
"Novosibirsk-RU";55.0166667;82.9333333;"Yes";"Yes"
"Nuuk-GL";64.1814099;-51.6941381;"Yes";"Yes"
"Ottawa-CA";45.4215296;-75.6971931;"Yes";"Yes"
"Paris-FR";48.880528;2.2855013;"Yes";"Yes"
"Poznan-PL";52.406374;16.9251681;"Yes";"Yes"
"Prague-CZ";50.0755381;14.4378005;"Yes";"Yes"
"Reno-US";39.529615;-119.814378;"Yes";"Yes"
"Reykjavik-IS";64.135338;-21.89521;"Yes";"Yes"
"Richmond-US";37.5246403;-77.5633015;"Yes";"Yes"
"Riga-LV";56.9496487;24.1051864;"Yes";"Yes"
"SaintPetersburg-RU";59.9342802;30.3350986;"Yes";"Yes"
"SanJose-CR";9.9280694;-84.0907246;"Yes";"Yes"
"Santiago-CL";-33.4488897;-70.6692655;"Yes";"Yes"
"Semey-KZ";50.4130211;80.205488;"Yes";"Yes"
"Sofia-BG";42.6977211;23.3225964;"Yes";"Yes"
"StGeorge-US";37.1078482;-113.5824007;"Yes";"Yes"
"Tbilisi-GE";41.7323742;44.6987687;"Yes";"Yes"
"Tehran-IR";35.696111;51.423056;"Yes";"No"
"Tokyo-JP";35.6894875;139.6917064;"Yes";"Yes"
"Vienna-AT";48.2081743;16.3738189;"Yes";"Yes"
"Yerevan-AM";40.183333;44.516667;"Yes";"Yes"
"Zurich-CH";47.3686498;8.5391825;"Yes";"Yes"
