"Town";"Latitude";"Longitude";"IPv4";"IPv6"
"Abidjan-Coted'Ivoire";"5.316667";"-4.033333";"Yes";"No"
"AlMuharraq-Bahrain";"26.266941";"50.63839";"Yes";"No"
"Amman-Jordan";"31.9565783";"35.9456951";"Yes";"No"
"Anchorage-UnitedStates";"61.2180556";"-149.9002778";"Yes";"No"
"Ankara-Turkey";"39.92077";"32.85411";"Yes";"No"
"Apia-Samoa";"-13.8506958";"-171.7513551";"Yes";"Yes"
"ArlingtonCounty-UnitedStates";"38.8816208";"-77.0909809";"Yes";"Yes"
"Asuncion-Paraguay";"-25.282197";"-57.6351";"Yes";"Yes"
"Atlanta-UnitedStates";"33.7489954";"-84.3879824";"Yes";"Yes"
"Baku-Azerbaijan";"40.4092617";"49.8670924";"Yes";"Yes"
"Bangkok-Thailand";"13.7563309";"100.5017651";"Yes";"Yes"
"Beirut-Lebanon";"33.8886289";"35.4954794";"Yes";"No"
"Belem-Brazil";"-1.4557549";"-48.4901799";"Yes";"No"
"Belgrade-Serbia";"44.786568";"20.4489216";"Yes";"Yes"
"BeloHorizonte-Brazil";"-19.9166813";"-43.9344931";"Yes";"Yes"
"Blantyre-Malawi";"-15.7666707";"35.0167866";"Yes";"Yes"
"Bogota-Colombia";"4.598056";"-74.075833";"Yes";"No"
"Brasilia-Brazil";"-15.7942287";"-47.8821658";"Yes";"No"
"Bratislava-Slovakia";"48.1485965";"17.1077477";"Yes";"Yes"
"Brisbane-Australia";"-27.4710107";"153.0234489";"Yes";"Yes"
"Brussels-Belgium";"50.8503396";"4.3517103";"Yes";"Yes"
"Callao-Peru";"-12.0508491";"-77.1259843";"Yes";"No"
"Campinas-Brazil";"-22.9099384";"-47.0626332";"Yes";"No"
"CapeTown-SouthAfrica";"-33.9248685";"18.4240553";"Yes";"Yes"
"Chicago-UnitedStates";"41.8781136";"-87.6297982";"Yes";"Yes"
"Christchurch-NewZealand";"-43.5320544";"172.6362254";"Yes";"Yes"
"Cochabamba-Bolivia";"-17.4139766";"-66.1653224";"Yes";"Yes"
"Colombo-SriLanka";"6.9270786";"79.861243";"Yes";"Yes"
"Copenhagen-Denmark";"55.6760968";"12.5683371";"Yes";"Yes"
"Curitiba-Brazil";"-25.4289541";"-49.267137";"Yes";"Yes"
"Dammam-SaudiArabia";"26.3926665";"49.9777136";"Yes";"No"
"DaresSalaam-Tanzania";"-6.8";"39.283333";"Yes";"Yes"
"Denver-UnitedStates";"39.7392358";"-104.990251";"Yes";"Yes"
"DesMoines-UnitedStates";"41.6005448";"-93.6091064";"Yes";"Yes"
"Dortmund-Germany";"51.5135872";"7.4652981";"Yes";"Yes"
"Dubai-UnitedArabEmirates";"25.2048493";"55.2707828";"Yes";"Yes"
"Dundee-UnitedKingdom";"56.462018";"-2.970721";"Yes";"No"
"Dusseldorf-Germany";"51.2277411";"6.7734556";"Yes";"Yes"
"ElPratdeLlobregat-Spain";"41.3245953";"2.0934902";"Yes";"Yes"
"Ezeiza-Argentina";"-34.8537327";"-58.5228619";"Yes";"Yes"
"Florence-Italy";"43.7695604";"11.2558136";"Yes";"Yes"
"Florianopolis-Brazil";"-27.5953778";"-48.5480499";"Yes";"No"
"Fortaleza-Brazil";"-3.7318616";"-38.5266704";"Yes";"No"
"Geneva-Switzerland";"46.1983922";"6.1422961";"Yes";"Yes"
"Haarlemmermeer-Netherlands";"52.2904909";"4.6695376";"Yes";"Yes"
"Hagatna-Guam";"13.4708908";"144.7512782";"Yes";"No"
"Hamburg-Germany";"53.5510846";"9.9936818";"Yes";"Yes"
"Heraklion-Greece";"35.3387352";"25.1442126";"Yes";"Yes"
"Honiara-SolomonIslands";"-9.435092";"159.951239";"Yes";"No"
"Honolulu-UnitedStates";"21.3069444";"-157.8583333";"Yes";"Yes"
"Incheon-SouthKorea";"37.4562557";"126.7052062";"Yes";"Yes"
"Islamabad-Rawalpindi-Pakistan";"33.7293882";"73.0931461";"Yes";"Yes"
"Jakarta-Indonesia";"-6.2087634";"106.845599";"Yes";"Yes"
"Jeddah-SaudiArabia";"21.543333";"39.172778";"Yes";"No"
"Johannesburg-SouthAfrica";"-26.2041028";"28.0473051";"Yes";"Yes"
"Kalamazoo-BattleCreek-UnitedStates";"42.3211522";"-85.1797142";"Yes";"Yes"
"Kharkiv-Ukraine";"49.9935";"36.230383";"Yes";"Yes"
"Kiev-Ukraine";"50.4501";"30.5234";"Yes";"Yes"
"Kolkata-India";"22.572646";"88.363895";"Yes";"No"
"Kolonia-FederatedStatesofMicronesia";"6.9599409";"158.2117046";"Yes";"Yes"
"KuwaitCity-Kuwait";"29.375859";"47.9774052";"Yes";"Yes"
"Lahore-Pakistan";"31.5546061";"74.3571581";"Yes";"Yes"
