"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"id";"site"
"Cote d'Ivoire";"Yes";"No";5.316667;-4.033333;1;"Abidjan";"Global";"Abidjan-Coted'Ivoire";"http://l.root-servers.org/"
"Bahrain";"Yes";"No";26.266941;50.63839;1;"Al Muharraq";"Global";"AlMuharraq-Bahrain";"http://l.root-servers.org/"
"Jordan";"Yes";"No";31.9565783;35.9456951;1;"Amman";"Global";"Amman-Jordan";"http://l.root-servers.org/"
"United States";"Yes";"No";61.2180556;-149.9002778;1;"Anchorage";"Global";"Anchorage-UnitedStates";"http://l.root-servers.org/"
"Turkey";"Yes";"No";39.92077;32.85411;1;"Ankara";"Global";"Ankara-Turkey";"http://l.root-servers.org/"
"Samoa";"Yes";"Yes";-13.8506958;-171.7513551;1;"Apia";"Global";"Apia-Samoa";"http://l.root-servers.org/"
"United States";"Yes";"Yes";38.8816208;-77.0909809;1;"Arlington County";"Global";"ArlingtonCounty-UnitedStates";"http://l.root-servers.org/"
"Paraguay";"Yes";"Yes";-25.282197;-57.6351;1;"Asuncion";"Global";"Asuncion-Paraguay";"http://l.root-servers.org/"
"United States";"Yes";"Yes";33.7489954;-84.3879824;1;"Atlanta";"Global";"Atlanta-UnitedStates";"http://l.root-servers.org/"
"Azerbaijan";"Yes";"Yes";40.4092617;49.8670924;1;"Baku";"Global";"Baku-Azerbaijan";"http://l.root-servers.org/"
"Thailand";"Yes";"Yes";13.7563309;100.5017651;1;"Bangkok";"Global";"Bangkok-Thailand";"http://l.root-servers.org/"
"People's Republic of China";"Yes";"Yes";39.907313;116.403303;2;"Beijing";"Global";"Beirut-Lebanon";"http://l.root-servers.org/"
"Lebanon";"Yes";"No";33.8886289;35.4954794;1;"Beirut";"Global";"Belem-Brazil";"http://l.root-servers.org/"
"Brazil";"Yes";"No";-1.4557549;-48.4901799;1;"Belem";"Global";"Belgrade-Serbia";"http://l.root-servers.org/"
"Serbia";"Yes";"Yes";44.786568;20.4489216;1;"Belgrade";"Global";"BeloHorizonte-Brazil";"http://l.root-servers.org/"
"Brazil";"Yes";"Yes";-19.9166813;-43.9344931;1;"Belo Horizonte";"Global";"Blantyre-Malawi";"http://l.root-servers.org/"
"Malawi";"Yes";"Yes";-15.7666707;35.0167866;1;"Blantyre";"Global";"Bogota-Colombia";"http://l.root-servers.org/"
"Colombia";"Yes";"No";4.598056;-74.075833;1;"Bogota";"Global";"Brasilia-Brazil";"http://l.root-servers.org/"
"Cote d'Ivoire";"Yes";"No";7.683333;-5.016667;1;"Bouake";"Global";"Bratislava-Slovakia";"http://l.root-servers.org/"
"Brazil";"Yes";"No";-15.7942287;-47.8821658;1;"Brasilia";"Global";"Brisbane-Australia";"http://l.root-servers.org/"
"Slovakia";"Yes";"Yes";48.1485965;17.1077477;1;"Bratislava";"Global";"Brussels-Belgium";"http://l.root-servers.org/"
"Australia";"Yes";"Yes";-27.4710107;153.0234489;1;"Brisbane";"Global";"Callao-Peru";"http://l.root-servers.org/"
